X,Y,Nome,Norte(m),Leste(m),Elevação,Ondulaçã,Alt_Ortome,ID,icon_url
-35.7340518872874,-9.63062047039839,BASE_EXE,8934228.505999999120831,199919.730000000010477,43.944000000000003,-8.949999999999999,52.894,B01,./0.png
-35.7630017334882,-9.68228423140829,BASE_UCS,8928484.640000000596046,196786.255000000004657,5.074000000000000,-9.071680000000001,14.146,B02,./0.png
