X,Y,Nome,Norte(m),Leste(m),Elevação,ID,Ondulaçã,Alt_Ortome,icon_url
-35.7435017286954,-9.62896607139155,DG01,8934403.311000000685453,198880.326999999990221,47.933999999999997,1,-8.940000000000000,56.874,./0.png
-35.7461364353627,-9.63511045596489,DG02,8933720.917999999597669,198596.396000000007916,46.656999999999996,2,-8.957879999999999,55.615,./0.png
-35.7435266995051,-9.63186102211809,DG03,8934082.870999999344349,198880.152999999991152,46.023000000000003,3,-8.949479999999999,54.972,./0.png
-35.7454505059027,-9.63732287566598,DG04,8933476.648000000044703,198673.701000000000931,46.722999999999999,4,-8.960000000000004,55.683,./0.png
-35.7415823914514,-9.63409870974225,DG05,8933836.912000000476837,199095.692999999999302,39.890999999999998,5,-8.950450000000000,48.841,./0.png
-35.7395974638396,-9.63277854668764,DG06,8933984.776000000536442,199312.538000000000466,45.570000000000000,6,-8.951219999999999,54.521,./0.png
-35.7505779207706,-9.62927557922489,DG07,8934362.815999999642372,198103.371000000013737,-2.094000000000000,7,-8.937279999999999,6.843,./0.png
-35.7403770474202,-9.63901911713387,DG08,8933293.375000000000000,199232.445999999996275,44.670999999999999,8,-8.964420000000000,53.635,./0.png
-35.7435636437895,-9.64068654919308,DG09,8933106.014000000432134,198883.931000000011409,44.893999999999998,9,-8.970000000000002,53.864,./0.png
-35.7444383748917,-9.64348816415296,DG10,8932795.154999999329448,198790.345999999990454,-0.667000000000000,10,-8.979240000000004,8.312,./0.png
-35.7410643223803,-9.64449256854975,DG11,8932686.960000000894070,199161.817999999999302,45.667999999999999,11,-8.980000000000000,54.648,./0.png
-35.74648530144,-9.62458588753318,DG12,8934885.490000000223517,198548.730000000010477,32.677000000000000,12,-8.921250000000002,41.598,./0.png
-35.7470854057804,-9.62767436934011,DG13,8934543.121999999508262,198485.557999999960884,6.824000000000000,13,-8.930000000000000,15.754,./0.png
-35.7498364406078,-9.6275363697682,DG14,8934555.970000000670552,198183.266999999992549,1.506000000000000,14,-8.930000000000000,10.436,./0.png
-35.7517224958008,-9.62413926476974,DG15,8934930.304999999701977,197973.084000000002561,-2.129000000000000,15,-8.920000000000000,6.791,./0.png
-35.7551912836531,-9.62525920894533,DG16,8934803.282999999821186,197593.070999999996275,-1.734000000000000,16,-8.920000000000000,7.186,./0.png
-35.7482225077757,-9.63617741072701,Mina01,8933600.984999999403954,198368.220000000030268,-4.046000000000001,17,-8.959560000000000,4.914,./0.png
-35.7493097940757,-9.63408712200594,Mina04,8933831.382999999448657,198246.937999999994645,-3.930000000000000,18,-8.950659999999999,5.021,./0.png
-35.7458286122931,-9.63119191474801,Mina06,8934154.901000000536442,198626.725000000005821,44.991000000000000,19,-8.947300000000000,53.938,./0.png
-35.7501984572121,-9.63426724502345,Mina07,8933810.662000000476837,198149.491000000009080,-6.047000000000000,20,-8.949999999999999,2.903,./0.png
-35.7509688480878,-9.63141396829696,Mina09,8934125.789000000804663,198062.334999999991851,-5.488000000000000,21,-8.940000000000000,3.452,./0.png
-35.7457079039081,-9.64030471803572,Mina11,8933146.384999999776483,198648.079999999987194,-1.535000000000000,22,-8.970000000000002,7.435,./0.png
-35.7488235771872,-9.63173220915559,Mina16,8934092.459000000730157,198298.247999999992317,26.512000000000000,23,-8.940000000000000,35.452,./0.png
-35.7485882226189,-9.63216008000045,Mina17,8934045.309000000357628,198324.478999999992084,24.800000000000001,24,-8.940540000000000,33.741,./0.png
-35.7496963081063,-9.63576873576609,Mina20,8933644.916999999433756,198205.980999999999767,-5.827000000000000,25,-8.950730000000000,3.124,./0.png
-35.7513751623777,-9.63012996249541,Mina32,8934267.547000000253320,198016.564000000013039,-4.835000000000000,26,-8.939500000000002,4.105,./0.png
-35.7490077668539,-9.63699926706502,Mina35,8933509.326999999582767,198282.701999999961117,-6.173000000000000,27,-8.957730000000000,2.785,./0.png
